lp,year,title,authors,type,area,publisher,doi,url,apa
55,2023,Wyzwania zrównoważonego rozwoju w perspektywie koncepcji Zielonej Energetyki.,Grzegorz Kinelski,Rozdział,Dekarbonizacja i zrównoważony rozwój,WSB,,https://bazawiedzy.wsb.edu.pl/docstore/download/AWSB64fa20a408ef4dd28fdde0896a4f90af/zrownowazony_rozwoj_organizacji_interaktywny.pdf?entityType=book,"Kinelski, G. (2023). Wyzwania zrównoważonego rozwoju w perspektywie koncepcji zielonej energetyki. W: M. Lis, M. Kot-Radojewska, & E. Popławska (red.), Zrównoważony rozwój organizacji (s. 21–38). Akademia WSB. ISBN 978-83-67673-06-8"
50,2023,"Komentarz do Prawa Energetycznego - TOM 1, Art.. 51-55",Grzegorz Kinelski,Rozdział,Subsektor elektroenergetyczny,C.H.Beck,,https://www.ksiegarnia.beck.pl/21055-prawo-energetyczne-efektywnosc-energetyczna-tom-i-komentarz-marzena-czarnecka,"Kinelski, G. (2023). Komentarz do art. 51–54. W: M. Czarnecka & T. Ogłódek (red.), Prawo energetyczne. Efektywność energetyczna. Tom I. Komentarz (s. 870–887). C.H.Beck. ISBN 978-83-8235-865-0"
49,2023,"Komentarz do Prawa Energetycznego - TOM 1 Prawo energetyczne, Efektywność energetyczna Art.. 11-11x",Grzegorz Kinelski,Rozdział,Subsektor elektroenergetyczny,C.H.Beck,,https://www.ksiegarnia.beck.pl/21055-prawo-energetyczne-efektywnosc-energetyczna-tom-i-komentarz-marzena-czarnecka,"Kinelski, G. (2023). Komentarz do art. 11–11x. W: M. Czarnecka & T. Ogłódek (red.), Prawo energetyczne. Efektywność energetyczna. Tom I. Komentarz (s. 472–489). C.H.Beck. ISBN 978-83-8235-865-0"
48,2023,"Komentarz do Prawa Energetycznego - TOM 2 - Odnawialne Źródła energii, Rynak mocy, Inwestycje w zakresieelektrowni woatrowych, Promowanie energii z wysokosprawnej kogeneracji, oraz w morskich farmach wiatrowych, Art.. 29-35","Grzegorz Kinelski, Krzysztof Zamasz",Rozdział,Subsektor elektroenergetyczny,C.H.Beck,,https://www.ksiegarnia.beck.pl/21109-odnawialne-zrodla-energii-rynek-mocy-inwestycje-w-zakresie-elektrowni-wiatrowych-promowanie-energii-z-wysokosprawnej-kogeneracji-oraz-w-morskich-farmach-wiatrowych-tom-ii-komentarz-marzena-czarnecka,"Kinelski, G., & Zamasz, K. (2023). Komentarz do art. 29–35. W: M. Czarnecka & T. Ogłódek (red.), Odnawialne źródła energii. Rynek mocy. Inwestycje w zakresie elektrowni wiatrowych. Promowanie energii z wysokosprawnej kogeneracji oraz w morskich farmach wiatrowych. Tom II. Komentarz (s. 868–884). C.H.Beck. ISBN 978-83-8235-866-7"
57,2022,Koncepcja Sterowania i zarządzania przepływami energii w Smart City,Grzegorz Kinelski,Rozdział,Smart City i współzarządzanie,WSB,,https://siemianowice.pl/wp-content/uploads/2022/12/Smart-cities-zarzadzanie-inteligentnym-miastem.1.pdf,"Kinelski, G. (2022). Koncepcja sterowania i zarządzania przepływem energii w Smart City. W: M. Lis, Z. Dacko-Pikiewicz, & K. Szczepańska-Woszczyna (red.), Smart cities - zarządzanie inteligentnym miastem (ss. 89–106). Akademia WSB. ISBN 9788366794948"
54,2022,Towards the Climate Neutral Management of Innovation and Energy Security in Smart World.,"Olena Borysiak, Karolina Mucha-Kuś, Vasyl Brych, Grzegorz Kinelski",Monografia,Dekarbonizacja i zrównoważony rozwój,LOGOS Verlag Berlin,,https://www.logos-verlag.de/cgi-bin/engbuchmid?id=&isbn=5544&lng=eng,"Borysiak, O., Mucha-Kuś, K., Brych, V., & Kinelski, G. (2022). Towards the Climate Neutral Management of Innovation and Energy Security in Smart World. LOGOS Verlag Berlin. ISBN 978-3-8325-5544-3"
53,2022,"Synergia i SMART CITY, SMART CITY 4.0 as a Set of Social Synergies",Grzegorz Kinelski,Artykuł,Smart City i współzarządzanie,PJMS,10.17512/pjms.2022.26.1.06,https://doi.org/10.17512/pjms.2022.26.1.06,"Kinelski, G. (2022). Smart city 4.0 as a set of social synergies. Polish Journal of Management Studies, 26(1), 92–106. https://doi.org/10.17512/pjms.2022.26.1.06"
52,2022,Ewolucja koncepcji Smart City w aktywności zasobów miejskich– studium przypadku GZM,Grzegorz Kinelski,Artykuł,Smart City i współzarządzanie,Przegląd Organizacji,10.33141/po.2022.02.05,https://doi.org/10.33141/po.2022.02.05,"Kinelski, G. (2022). Ewolucja koncepcji Smart City w aktywności zasobów miejskich: Studium przypadku GZM. Przegląd Organizacji, 2, 36–44. https://doi.org/10.33141/po.2022.02.05"
51,2022,Smart City trends in the environment of sustainability as support for decarbonization processes.,Grzegorz Kinelski,Artykuł,Smart City i współzarządzanie,Polityka Energetyczna,10.33223/epj/149739,https://doi.org/10.33223/EPJ/149739,"Kinelski, G. (2022). Smart-city trends in the environment of sustainability as support for decarbonization processes. Polityka Energetyczna – Energy Policy Journal, 25(2), 109–136. https://doi.org/10.33223/EPJ/149739"
47,2022,SMART CITY 4.0 - Sustainable Urban Development in the Metropolis GZM,"Makieła Zbigniew, Magdalena Stuss, Grzegorz Kinelski, Janusz Michałek , Karolina Mucha-Kuś, Marcin Budziński",Artykuł,Smart City i współzarządzanie,"MDPI, Sustainability",10.3390/su14063516,https://doi.org/10.3390/su14063516,"Makieła, Z., Stuss, M., Kinelski, G., Michałek, J., Mucha-Kuś, K., & Budziński, M. (2022). Smart City 4.0: Sustainable urban development in the Metropolis GZM. Sustainability, 14(6), 3516. https://doi.org/10.3390/su14063516"
46,2022,Tools for Network Smart City Management—The Case Study of Potential Possibility of Managing Energy and Associated Emissions in Metropolitan Areas,"Makieła Zbigniew, Grzegorz Kinelski, Janusz Michałek, Jakub Stęchły, Mariusz Raczek, Krzysztof Wrana,",Artykuł,Smart City i współzarządzanie,"MDPI, Energies",10.3390/en15072316,https://doi.org/10.3390/en15072316,"Makieła, Z. J., Kinelski, G., Stęchły, J., Raczek, M., Wrana, K., & Michałek, J. (2022). Tools for network smart city management—The case study of potential possibility of managing energy and associated emissions in metropolitan areas. Energies, 15(7), 2316. https://doi.org/10.3390/en15072316"
45,2022,Sieciowe zarządzanie miastem/gminą - poznanie wykorzystywanych narzędzi sieciowego zarządzania mobilnością na poziomie Górnośląsko-Zagłębiowskiej Metropolii,"Grzegorz Kinelski, Jakub Stęchły, Janusz Michałek","Rozdział, Redakcja",Smart City i współzarządzanie,Akademia WSB,,https://bazawiedzy.wsb.edu.pl/info/book/AWSB5a47ddabeb1e481e8e389b1f7b10eea2/,"Kinelski, G., Stęchły, J., & Michałek, J. (2022). Sieciowe zarządzanie miastem/gminą – poznanie wykorzystywanych narzędzi sieciowego zarządzania mobilnością na poziomie Górnośląsko-Zagłębiowskiej Metropolii. W: Z. Makieła, K. Mucha-Kuś, & G. Kinelski (red.), Koncepcja Smart City i potencjały 4T. Inteligentne zarządzanie miastami Górnośląsko-Zagłębiowskiej Metropolii (s. 97–126). Akademia WSB. ISBN 978-83-66794-71-9"
44,2022,Wdrażanie koncepcji Smart City w miastach Górnośląsko -Zagłębiowskiej Metropolii Identyfikacja przejawów współpracy miast Górnośląsko -Zagłębiowskiej Metropolii w zakresie wdrażania koncepcji Smart City i rozwijania kapitałów 4T.,"Grzegorz Kinelski, Mariusz Raczek, Marcin Budziński, Krzysztof Wrana","Rozdział, Redakcja",Smart City i współzarządzanie,Akademia WSB,,https://bazawiedzy.wsb.edu.pl/info/book/AWSB5a47ddabeb1e481e8e389b1f7b10eea2/,"Kinelski, G., Raczek, M., Budziński, M., & Wrana, K. (2022). Wdrażanie koncepcji Smart City w miastach Górnośląsko-Zagłębiowskiej Metropolii: Identyfikacja przejawów współpracy miast Górnośląsko-Zagłębiowskiej Metropolii w zakresie wdrażania koncepcji Smart City i rozwijania kapitałów 4T. W: Z. Makieła, K. Mucha-Kuś, & G. Kinelski (red.), Koncepcja Smart City i potencjały 4T. Inteligentne zarządzanie miastami Górnośląsko-Zagłębiowskiej Metropolii (s. 175–194). Akademia WSB. ISBN 978-83-66794-71-9"
43,2022,"Realizacja koncepcji Smart City w miastach Górnośląsko-Zagłębiowskiej Metropolii, na przykładzie Dąbrowy Górniczej.","Grzegorz Kinelski, zBigniew Makieła, Agnieszka Pasternak","Rozdział, Redakcja",Smart City i współzarządzanie,Akademia WSB,,https://bazawiedzy.wsb.edu.pl/info/book/AWSB5a47ddabeb1e481e8e389b1f7b10eea2/,"Kinelski, G., Makieła, Z., & Pasternak, A. (2022). Realizacja koncepcji Smart City w miastach Górnośląsko-Zagłębiowskiej Metropolii na przykładzie Dąbrowy Górniczej. W: Z. Makieła, K. Mucha-Kuś, & G. Kinelski (red.), Koncepcja Smart City i potencjały 4T. Inteligentne zarządzanie miastami Górnośląsko-Zagłębiowskiej Metropolii (s. 195–230). Akademia WSB. ISBN 978-83-66794-71-9"
42,2022,WSTĘP,"Grzegorz Kinelski, Zbigniew Makieła","Rozdział, Redakcja",Subsektor elektroenergetyczny,Akademia WSB,,https://bazawiedzy.wsb.edu.pl/info/book/AWSB5a47ddabeb1e481e8e389b1f7b10eea2/,"Kinelski, G., & Makieła, Z. (2022). Wstęp. W: Z. Makieła, K. Mucha-Kuś, & G. Kinelski (red.), Koncepcja Smart City i potencjały 4T. Inteligentne zarządzanie miastami Górnośląsko-Zagłębiowskiej Metropolii (s. 7–20). Akademia WSB. ISBN 978-83-66794-71-9"
41,2022,Efficiency of Shaping the Value Chain in the Area of the Use of Raw Materials in Agro-Biorefinery in Sustainable Development,"Grzegorz Kinelski , Piotr Bartkowiak, Anna Bartkowiak",Artykuł,Dekarbonizacja i zrównoważony rozwój,"MDPI, Energies",10.3390/en15176260,https://doi.org/10.3390/en15176260,"Kinelski, G., Bartkowiak, P., & Bartkowiak, A. (2022). Efficiency of shaping the value chain in the area of the use of raw materials in agro-biorefinery in sustainable development. Energies, 15(17), 6260. https://doi.org/10.3390/en15176260"
40,2022,Various facets of Sustainable Smart City Management: selected examples from Polish metro-politan areas,"Grzegorz Kinelski , Jakub Stęchły, Piotr Bartkowiak,",Artykuł,Smart City i współzarządzanie,"MDPI, Energies",10.3390/en15092980,https://doi.org/10.3390/en15092980,"Kinelski, G., Stęchły, J., & Bartkowiak, P. (2022). Various facets of sustainable smart city management: Selected examples from Polish metropolitan areas. Energies, 15(9), 2980. https://doi.org/10.3390/en15092980"
39,2022,Grants and Funding in the Decarbonization in Sustainable Development,"GrzegorzKinelski, Magdalena Wójcik-Jurkiewicz, Marzena Czarnecka, Beata Sadowska, Katarzyna Chudy-Laskowska, Grzegorz Lew, Borys Budka",Artykuł,Dekarbonizacja i zrównoważony rozwój,MDPI,10.3390/en15207481,https://doi.org/10.3390/en15207481,"Czarnecka, M., Chudy-Laskowska, K., Kinelski, G., Lew, G., Sadowska, B., Wójcik-Jurkiewicz, M., & Budka, B. (2022). Grants and funding for the processes of decarbonization in the scope of sustainability development—the case from Poland. Energies, 15(20), 7481. https://doi.org/10.3390/en15207481"
38,2022,Socialmedia I - Social media engagement in shaping green energy business models,"Grzegorz Kinelski, Magdalena Stefańska, Marzena Czarnecka, Mateusz Grzesiak, Borys Budka",Artykuł,Gospodarka cyfrowa,"MDPI, Energies",10.3390/en15051727,https://doi.org/10.3390/en15051727,"Czarnecka, M., Kinelski, G., Stefańska, M., Grzesiak, M., & Budka, B. (2022). Social media engagement in shaping green energy business models. Energies, 15(5), 1727. https://doi.org/10.3390/en15051727"
37,2022,Rozwój rynków energii elektrycznej oraz kluczowe czynniki wpływające na konsumentów i prosumentów.,Grzegorz Kinelski,Rozdział,Subsektor elektroenergetyczny,C.H. Beck,,https://www.ksiegarnia.beck.pl/21056-wyzwania-dla-prawa-konsumenckiego-w-wymiarze-globalnym-regionalnym-i-lokalnym-monika-namyslowska-prof-ul,"Kinelski, G. (2022). Rozwój rynków energii elektrycznej oraz kluczowe czynniki wpływające na konsumentów i prosumentów. W: M. Namysłowska (red.), Wyzwania dla prawa konsumenckiego w wymiarze globalnym, regionalnym i lokalnym (s. 219–236). C.H.Beck. ISBN 978-83-8291-407-8"
36,2021,"Concept, Developments, and Consequences of Greenwashing","GrzegorzKinelski, Magdalena Wójcik-Jurkiewicz, Marzena Czarnecka, Grzegorz Zych, Borys Budka",Artykuł,Dekarbonizacja i zrównoważony rozwój,European Research Studies Journal,10.35808/ersj/2779,https://doi.org/10.35808/ersj/2779,"Zych, G., Budka, B., Czarnecka, M., Kinelski, G., & Wójcik-Jurkiewicz, M. (2021). Concept, developments, and consequences of greenwashing. European Research Studies Journal, 24(4B), 914–922. https://doi.org/10.35808/ersj/2779"
35,2021,Capacity Market and (the Lack of) New Investments: Evidence from Poland,"Grzegorz Kinelski, Przemysław Kaszyński, Aleksandra Komorowska, Krzysztof Zamasz, Jacek Kamiński",Artykuł,Smart City i współzarządzanie,"MDPI, Energies",10.3390/en14237843,https://doi.org/10.3390/en14237843,"Kaszyński, P., Komorowska, A., Zamasz, K., Kinelski, G., & Kamiński, J. (2021). Capacity market and (the lack of) new investments: Evidence from Poland. Energies, 14(23), 7843. https://doi.org/10.3390/en14237843"
34,2021,Application of Smart Technologies in Metropolis GZM to Reduce Harmful Emissions in District Heating Systems,"Grzegorz Kinelski, Jakub Stęchły, Adrian Sienicki, Kai Czornik, Piotr Borkowski",Artykuł,Smart City i współzarządzanie,"MDPI, Energies-1428905 (2021) vol. 14 issue 22",10.3390/en14227665,https://doi.org/10.3390/en14227665,"Kinelski, G., Stęchły, J., Sienicki, A., Czornik, K., & Borkowski, P. (2021). Application of smart technologies in Metropolis GZM to reduce harmful emissions in district heating systems. Energies, 14(22), 7665. https://doi.org/10.3390/en14227665"
33,2021,Determinants of Decarbonization—How to Realize Sustainable and Low Carbon Cities?,"GrzegorzKinelski, Magdalena Wójcik-Jurkiewicz, Marzena Czarnecka, Grzegorz Zych, Wojciech Drożdż, Anna Marouskova",Artykuł,Dekarbonizacja i zrównoważony rozwój,"MDPI, Energies-1175262, vol. 14, issue: 9",10.3390/en14092640,https://doi.org/10.3390/en14092640,"Drożdż, W., Kinelski, G., Czarnecka, M., Wójcik-Jurkiewicz, M., Maroušková, A., & Zych, G. (2021). Determinants of decarbonization—How to realize sustainable and low carbon cities?. Energies, 14(9), 2640. https://doi.org/10.3390/en14092640"
32,2021,The Impact of COVID-19 on Electricity Demand Profiles: A Case Study of Selected Business Clients in Poland,"Grzegorz Kinelski, Marcin Malec, Marzena Czarnecka",Artykuł,Smart City i współzarządzanie,"MDPI, Energies (2021), 1335081, vol.14 issue 17",10.3390/en14175332,https://doi.org/10.3390/en14175332,"Malec, M., Kinelski, G., & Czarnecka, M. (2021). The impact of COVID-19 on electricity demand profiles: A case study of selected business clients in Poland. Energies, 14(17), 5332. https://doi.org/10.3390/en14175332"
31,2021,Determinants of Decarbonisation in the Transformation of the Energy Sector: The Case of Poland,"GrzegorzKinelski, Magdalena Wójcik-Jurkiewicz, Marzena Czarnecka, Beata Sadowska, Katarzyna Bilińska-Reformat",Artykuł,Dekarbonizacja i zrównoważony rozwój,"MDPI, Energies (2021), Energies-1080467, vol.14 issue 5",10.3390/en14051217,https://doi.org/10.3390/en14051217,"Wójcik-Jurkiewicz, M., Czarnecka, M., Kinelski, G., Sadowska, B., & Bilińska-Reformat, K. (2021). Determinants of decarbonisation in the transformation of the energy sector: The case of Poland. Energies, 14(5), 1217. https://doi.org/10.3390/en14051217"
30,2021,Legal Aspects of Sharing Economy: The Case of Games’ Platforms,Magdalena Wojcik-Jurkiewicz; Aleksandra Lubicz-Posochowska; Marzena Czarnecka; Grzegorz Kinelski; Beata Sadowska,Artykuł,Gospodarka cyfrowa,EUROPEAN RESEARCH STUDIES JOURNAL,10.35808/ersj/2098,https://doi.org/10.35808/ersj/2098,"Wójcik-Jurkiewicz, M., Lubicz-Posochowska, A., Czarnecka, M., Kinelski, G., & Sadowska, B. (2021). Legal aspects of sharing economy: The case of games’ platforms. European Research Studies Journal, 24(Special Issue 1), 1196–1210. https://doi.org/10.35808/ersj/2098"
29,2020,Sustainable development of project management in energy companies: The digital economy context,"Grzegorz Kinelski,",Artykuł,Gospodarka cyfrowa,IBIMA,,,"Kinelski, G. (2020). Sustainable development of project management in energy companies: The digital economy context. W: Proceedings of the 36th International Business Information Management Association (IBIMA) (s. 12926–12935). IBIMA. ISBN 978-0-9998551-5-7"
28,2020,The main factors of successful project management in the aspect of energy enterprises’ efficiency in the digital economy environment,"Grzegorz Kinelski,",Artykuł,Gospodarka cyfrowa,Instytut Gospodarki Surowcami Mineralnymi i Energia PAN,10.33223/EPJ/126435,https://doi.org/10.33223/EPJ/126435,"Kinelski, G. (2020). The main factors of successful project management in the aspect of energy enterprises’ efficiency in the digital economy environment. Polityka Energetyczna – Energy Policy Journal, 23(3), 5–20. https://doi.org/10.33223/EPJ/126435"
27,2020,Gospodarka cyfrowa i jej narzędzia pomiaru efektywności przedsiębiorstw energetycznych,"Grzegorz Kinelski,",Artykuł,Gospodarka cyfrowa,KAPRINT,Do wyjaśnienia,,"Kinelski, G. (2020). Gospodarka cyfrowa i jej narzędzia pomiaru efektywności przedsiębiorstw energetycznych. Rynek Energii, 147(2), 61–72."
26,2020,KOSZTY OCHRONY KONSUMENTÓW W ASPEKCIE EFEKTYWNOŚCI I JEJ POMIARU W PRZEDSIĘBIORSTWACH SUBSEKTORA ELEKTROENERGETYCZNEGO (Costs of Consumer Protection in the Aspect of Efficiency and Its Measurement in Enterprises of the Power Sector),"Grzegorz Kinelski,",Artykuł,Subsektor elektroenergetyczny,SSRN,10.2139/ssrn.3546814,https://doi.org/10.2139/ssrn.3546814,"Kinelski, G. (2020). Koszty ochrony konsumentów w aspekcie efektywności i jej pomiaru w przedsiębiorstwach subsektora elektroenergetycznego (Costs of Consumer Protection in the Aspect of Efficiency and Its Measurement in Enterprises of the Power Sector). SSRN Electronic Journal. https://doi.org/10.2139/ssrn.3546814"
25,2020,Komentarz - objasnienia do Prawa Energetycznego do art. 51-54,"Grzegorz Kinelski,",Rozdział,Subsektor elektroenergetyczny,Wydawnictwo C.H.Beck,,,"Kinelski, G. (2020). Komentarz – objaśnienia do prawa energetycznego do art. 51–54. W: M. Czarnecka & T. Ogłódek (red.), Prawo energetyczne. Ustawa o odnawialnych źródłach energii. Ustawa o rynku mocy. Ustawa o inwestycjach w zakresie elektrowni wiatrowych: komentarz (s. 684–700). Wydawnictwo C.H.Beck. ISBN 978-83-8158-698-6"
24,2020,Sustainable Development and Its Influence on Project Management Efficiency and Enterprise Competitiveness on the Energy Market in Terms of the Digital Economy,"Grzegorz Kinelski,","Rozdział, Redakcja",Gospodarka cyfrowa,WSB University,,,"Kinelski, G. (2020). Sustainable development and its influence on project management efficiency and enterprise competitiveness on the energy market in terms of the digital economy. W: K. Szczepańska-Woszczyna, K. Zamasz, & G. Kinelski (red.), Innovation in Organisational Management: Under Conditions of Sustainable Development (s. 99–118). WSB University. ISBN 978-83-65621-95-5"
23,2020,Investment Decision Management Using Joint-Stock Company Value Estimation via Non-Financial Measures in the Time of the Digital Economy,"Grzegorz Kinelski, Wojciech Muras","Rozdział, Redakcja",Gospodarka cyfrowa,WSB University,,,"Kinelski, G., & Muras, W. (2020). Investment decision management using joint-stock company value estimation via non-financial measures in the time of the digital economy. W: K. Szczepańska-Woszczyna, K. Zamasz, & G. Kinelski (red.), Innovation in Organisational Management: Under Conditions of Sustainable Development (s. 119–138). WSB University. ISBN 978-83-65621-95-5"
21,2020,Conclusions,"Grzegorz Kinelski, Marcin Lis","Rozdział, Redakcja",Subsektor elektroenergetyczny,"WSB University, Adam Marszałem",,https://wsb.edu.pl/nauka-i-badania/perfect-regionalna-inicjatywa-doskonalosci-w-akademii-wsb/wybrane-publikacje-efekty-projektu/monografia/project-management-in-public-administration-the-case-of-metropolis-gzm.html,"Kinelski, G., & Lis, M. (2020). Conclusions. W: K. Zamasz & K. Mucha-Kuś (red.), Project Management in Public Administration: The Case of Metropolis GZM (s. 164–169). Wydawnictwo Adam Marszałek. ISBN 978-83-8180-323-6"
20,2020,Recommendation for the Efficient Implementation of Project Management Systemie the Metropolitan Office,"Grzegorz Kinelski, Krzysztof Zamasz, Marcin Lis","Rozdział, Redakcja",Smart City i współzarządzanie,"WSB University, Adam Marszałem",,https://wsb.edu.pl/nauka-i-badania/perfect-regionalna-inicjatywa-doskonalosci-w-akademii-wsb/wybrane-publikacje-efekty-projektu/monografia/project-management-in-public-administration-the-case-of-metropolis-gzm.html,"Kinelski, G., Zamasz, K., & Lis, M. (2020). Recommendation for the efficient implementation of project management system in the Metropolitan Office. W: K. Zamasz & K. Mucha-Kuś (red.), Project Management in Public Administration: The Case of Metropolis GZM (s. 151–163). Wydawnictwo Adam Marszałek. ISBN 978-83-8180-323-6"
22,2019,Competitivness and Efficiency Management Through Cognitive Technologies in the Digital Economy,Grzegorz Kinelski,Monografia,Gospodarka cyfrowa,Adam Marszałek,,,"Kinelski, G. (2019). Competitivness and Efficiency Management Through Cognitive Technologies in the Digital Economy. Adam Marszałek. ISBN 978-83-8180-228-4"
19,2019,Wstęp,"Grzegorz Kinelski, Joanna Marszałek-Kawa",Rozdział,Subsektor elektroenergetyczny,Adam Marszałek,,https://repozytorium.bg.ug.edu.pl/info/book/UOG89c7eee6c0874bb791391da69240292e?lang=pl,"Kinelski, G., & Marszałek-Kawa, J. (2019). Wstęp. W: J. Marszałek-Kawa & G. Kinelski (red.), Współczesne bezpieczeństwo regionu Azji i Pacyfiku: wybrane problemy (s. 5–9). Wydawnictwo Adam Marszałek. ISBN 978-83-8180-273-4"
